timestamp,power
2026-06-26 19:20:24.348,0
2026-06-26 19:20:25.343,0
2026-06-26 19:20:26.138,0
2026-06-26 19:20:27.132,0
2026-06-26 19:20:28.125,0
2026-06-26 19:20:29.119,0
2026-06-26 19:20:30.113,0
2026-06-26 19:20:31.107,0
2026-06-26 19:20:32.100,0
2026-06-26 19:20:33.094,0
2026-06-26 19:20:34.086,0
2026-06-26 19:20:35.080,0
2026-06-26 19:20:35.875,0
2026-06-26 19:20:36.869,0
2026-06-26 19:20:37.863,0
2026-06-26 19:20:38.856,0
2026-06-26 19:20:39.851,0
2026-06-26 19:20:40.844,0
2026-06-26 19:20:41.838,0
2026-06-26 19:20:42.831,0
2026-06-26 19:20:43.826,0
2026-06-26 19:20:44.820,0
2026-06-26 19:20:45.616,0
2026-06-26 19:20:46.609,0
2026-06-26 19:20:47.603,0
2026-06-26 19:20:48.597,0
2026-06-26 19:20:49.591,0
2026-06-26 19:20:50.584,0
2026-06-26 19:20:51.578,0
2026-06-26 19:20:52.572,0
2026-06-26 19:20:53.565,0
2026-06-26 19:20:54.559,0
2026-06-26 19:20:55.354,0
2026-06-26 19:20:56.348,0
2026-06-26 19:20:57.342,0
2026-06-26 19:20:58.334,0
2026-06-26 19:20:59.329,0
2026-06-26 19:21:00.323,0
2026-06-26 19:21:01.316,0
2026-06-26 19:21:02.310,0
2026-06-26 19:21:03.305,0
2026-06-26 19:21:04.298,0
2026-06-26 19:21:05.092,0
2026-06-26 19:21:06.086,0
2026-06-26 19:21:07.080,0
2026-06-26 19:21:08.074,0
